vuosi
markka
maa
asia
prosentti
ihminen
mies
aika
työ
mieli
kaupunki
osa
alue
lapsi
päivä
hallitus
kunta
nainen
viikko
luku
kerta
yritys
alku
paikka
tilanne
presidentti
tieto
loppu
tapa
maailma
määrä
puheenjohtaja
poliisi
kisa
auto
toiminta
tulos
raha
päätös
käyttö
syy
elämä
kilpailu
koulu
kesä
ongelma
yhtiö
joukkue
nuori
mahdollisuus
kausi
suomalainen
valtio
kuva
nimi
joukko
johtaja
tila
apu
ryhmä
hetki
tehtävä
puolue
tavoite
voitto
matka
kauppa
ottelu
sopimus
maanantai
hinta
sunnuntai
sarja
perjantai
puoli
lauantai
yhteistyö
jäsen
tutkimus
syksy
torstai
tiistai
keskiviikko
kysymys
talo
kuukausi
ohjelma
ratkaisu
peli
kirja
tuki
poika
esitys
edustaja
ala
tie
perhe
metri
oikeus
asema
elokuva
voima
tarkoitus
maali
johto
muutos
tunti
tapahtuma
hanke
kevät
piste
kokous
vesi
liitto
tulevaisuus
ääni
palvelu
juttu
kunto
taso
pääministeri
tulo
keskusta
työntekijä
osuus
käsi
lehti
asiakas
henkilö
sivu
klo
raja
toimitusjohtaja
musiikki
teos
kasvu
talous
sota
koti
kilometri
asukas
käytäntö
vaali
kirkko
minuutti
keskustelu
tapaus
eduskunta
ero
arvo
henki
neuvottelu
seura
vaihe
pankki
koulutus
miljoona
työpaikka
rakentaminen
suhde
historia
komissio
laki
pelaaja
kello
näyttely
yhteys
kokemus
ehdokas
asunto
kehitys
osake
huomio
äiti
yleisö
myynti
hoito
tarve
suunta
lupa
ajatus
tyttö
kohde
tuote
kone
opettaja
ilta
maakunta
markkinat
kieli
vuosikymmen
tekijä
kansa
yö
sana
vaihtoehto
merkitys
isä
liike
suunnitelma
tuotanto
valmentaja
malli
parlamentti
kansalainen
pää
vanhempi
aihe
talvi
vauhti
yhteiskunta
meno
vaikutus
rakennus
kylä
kanta
opiskelija
metsä
liikenne
tutkija
laji
vastuu
kansanedustaja
rooli
järjestö
puu
etu
professori
luokka
linja
elokuu
politiikka
seutu
oppilas
kierros
kesäkuu
piiri
valinta
euro
puhe
kulttuuri
ura
huoli
valtuusto
liiga
Kokoomus
kehittäminen
omistaja
silmä
projekti
yhdistys
nousu
viranomainen
kenttä
erä
tarina
teatteri
väki
tekeminen
yrittäjä
ministeri
kustannus
sairaala
syyskuu
merkki
keskus
lokakuu
sekunti
onni
luonto
valta
ympäristö
pohja
toukokuu
keino
taiteilija
tehdas
toimittaja
maaliskuu
ruoka
heinäkuu
tammikuu
virka
kriisi
vara
tausta
joulukuu
yliopisto
selvitys
lääkäri
dollari
sija
mestaruus
marraskuu
tilaisuus
olo
ystävä
jalka
palkinto
konsertti
rauha
katsoja
pakolainen
ulkomaa
palkka
juhla
levy
järjestelmä
toimi
julkisuus
teko
lasku
kyse
vieras
potilas
ovi
budjetti
laitos
näytelmä
menestys
arvio
rata
kirjailija
voittaja
kappale
turvallisuus
lähtö
ranta
televisio
ulkoministeri
esimerkki
teksti
taistelu
vaatimus
seurakunta
kurssi
armeija
työryhmä
vaikeus
ehto
taide
ehdotus
jälki
katu
muoto
tappio
jatko
näkemys
mestari
teollisuus
kilo
käsittely
vaimo
tunne
helmikuu
ote
huhtikuu
uhri
idea
rahoitus
viikonloppu
liikevaihto
kärki
laulu
eläke
laatu
koira
vastaus
seuraus
joulu
työttömyys
kotimaa
väli
lista
valo
jakso
vuosituhat
Venäläinen
lausunto
kaupunginhallitus
virhe
asiantuntija
kuljettaja
onnettomuus
eläin
uudistus
ase
korvaus
vastustaja
käräjäoikeus
työtön
ilma
sotilas
tunnelma
pääkaupunki
kokonaisuus
viesti
ravintola
vero
aamu
kuolema
pinta
taito
henkilökunta
puute
ohjaaja
pari
vaara
ikä
maksu
riski
työnantaja
numero
vanhus
huippukokous
osapuoli
vuosisata
mielipide
kuluttaja
tuomio
paperi
yllätys
tekniikka
verkko
opetus
kirjoittaja
suosio
lääni
vuoro
isku
pakko
summa
pääjohtaja
aikuinen
mitali
henkilöstö
tontti
peruste
lukio
aikataulu
sääntö
tavara
rikos
finaali
kunnia
käynti
kaveri
vahinko
virkamies
perinne
saari
uutinen
kysyntä
näyttelijä
poliitikko
demari
jäsenmaa
naapuri
paine
yksikkö
maaseutu
osasto
sydän
laite
raportti
väri
jää
piha
haaste
tyyli
kuu
tytär
ykkönen
käsitys
näkökulma
tuuli
hyöty
isäntä
ennätys
suu
sähkö
kala
yhteisö
investointi
pöytä
turnaus
kohtalo
tietokone
palo
maatalous
miljardi
aine
vihreä
toive
kilpailija
haastattelu
paikkakunta
rakkaus
serbi
korko
unioni
harjoitus
verotus
lippu
pallo
yhtye
albaani
enemmistö
sisältö
halli
vaihde
lääke
laina
väkivalta
silta
aste
juuri
suunnittelu
syyte
maalivahti
tahti
hevonen
maailmancup
urheilu
seinä
huume
pelko
cup
vierailu
kunnanhallitus
lumi
hotelli
ilo
kirjasto
homma
tähti
kulta
puhelin
tasavalta
huippu
omistus
valvonta
kysely
päättäjä
konserni
halu
leikkaus
hallinto
orkesteri
romaani
iltapäivä
vienti
teema
kiista
pörssi
leiri
lautakunta
kannatus
rakenne
sää
ministeriö
