,Nominative,accusative_nom,accusative_gen,genitive,partitive,inessive,elative,illative,adessive,ablative,allative,essive,translative,abessive
1826,liittovaltio,liittovaltio,liittovaltion,liittovaltion,liittovaltiota,liittovaltiossa,liittovaltiosta,liittovaltioon,liittovaltiolla,liittovaltiolta,liittovaltiolle,liittovaltiona,liittovaltioksi,liittovaltiotta
1827,yhteisövero,yhteisövero,yhteisöveron,yhteisöveron,yhteisöveroa,yhteisöverossa,yhteisöverosta,yhteisöveroon,yhteisöverolla,yhteisöverolta,yhteisöverolle,yhteisöverona,yhteisöveroksi,yhteisöverotta
1828,keksintö,keksintö,keksinnön,keksinnön,keksintöä,keksinnössä,keksinnöstä,keksintöön,keksinnöllä,keksinnöltä,keksinnölle,keksintönä,keksinnöksi,keksinnöttä
1829,resepti,resepti,reseptin,reseptin,reseptiä,reseptissä,reseptistä,reseptiin,reseptillä,reseptiltä,reseptille,reseptinä,reseptiksi,reseptittä
1830,uusinta,uusinta,uusinnan,uusinnan,uusintaa,uusinnassa,uusinnasta,uusintaan,uusinnalla,uusinnalta,uusinnalle,uusintana,uusinnaksi,uusinnatta
1831,törmäys,törmäys,törmäyksen,törmäyksen,törmäystä,törmäyksessä,törmäyksestä,törmäykseen,törmäyksellä,törmäykseltä,törmäykselle,törmäyksenä,törmäykseksi,törmäyksettä
1832,muuttuminen,muuttuminen,muuttumisen,muuttumisen,muuttumista,muuttumisessa,muuttumisesta,muuttumiseen,muuttumisella,muuttumiselta,muuttumiselle,muuttumisena,muuttumiseksi,muuttumisetta
1833,oikeusministeriö,oikeusministeriö,oikeusministeriön,oikeusministeriön,oikeusministeriötä,oikeusministeriössä,oikeusministeriöstä,oikeusministeriöön,oikeusministeriöllä,oikeusministeriöltä,oikeusministeriölle,oikeusministeriönä,oikeusministeriöksi,oikeusministeriöttä
1834,estäminen,estäminen,estämisen,estämisen,estämistä,estämisessä,estämisestä,estämiseen,estämisellä,estämiseltä,estämiselle,estämisenä,estämiseksi,estämisettä
1835,mielikuvitus,mielikuvitus,mielikuvituksen,mielikuvituksen,mielikuvitusta,mielikuvituksessa,mielikuvituksesta,mielikuvitukseen,mielikuvituksella,mielikuvitukselta,mielikuvitukselle,mielikuvituksena,mielikuvitukseksi,mielikuvituksetta
1836,traktori,traktori,traktorin,traktorin,traktoria,traktorissa,traktorista,traktoriin,traktorilla,traktorilta,traktorille,traktorina,traktoriksi,traktoritta
1837,metsätalous,metsätalous,metsätalouden,metsätalouden,metsätaloutta,metsätaloudessa,metsätaloudesta,metsätalouteen,metsätaloudella,metsätaloudelta,metsätaloudelle,metsätaloutena,metsätaloudeksi,metsätaloudetta
1838,valtti,valtti,valtin,valtin,valttia,valtissa,valtista,valttiin,valtilla,valtilta,valtille,valttina,valtiksi,valtitta
1839,yksityistäminen,yksityistäminen,yksityistämisen,yksityistämisen,yksityistämistä,yksityistämisessä,yksityistämisestä,yksityistämiseen,yksityistämisellä,yksityistämiseltä,yksityistämiselle,yksityistämisenä,yksityistämiseksi,yksityistämisettä
1840,leviäminen,leviäminen,leviämisen,leviämisen,leviämistä,leviämisessä,leviämisestä,leviämiseen,leviämisellä,leviämiseltä,leviämiselle,leviämisenä,leviämiseksi,leviämisettä
1841,haastaja,haastaja,haastajan,haastajan,haastajaa,haastajassa,haastajasta,haastajaan,haastajalla,haastajalta,haastajalle,haastajana,haastajaksi,haastajatta
1842,jumala,jumala,jumalan,jumalan,jumalaa,jumalassa,jumalasta,jumalaan,jumalalla,jumalalta,jumalalle,jumalana,jumalaksi,jumalatta
1843,europarlamentti,europarlamentti,europarlamentin,europarlamentin,europarlamenttia,europarlamentissa,europarlamentista,europarlamenttiin,europarlamentilla,europarlamentilta,europarlamentille,europarlamenttina,europarlamentiksi,europarlamentitta
