,Nominative,accusative_nom,accusative_gen,genitive,partitive,inessive,elative,illative,adessive,ablative,allative,essive,translative,abessive
0,vuosi,vuosi,vuoden,vuoden,vuotta,vuodessa,vuodesta,vuoteen,vuodella,vuodelta,vuodelle,vuotena,vuodeksi,vuodetta
1,markka,markka,markan,markan,markkaa,markassa,markasta,markkaan,markalla,markalta,markalle,markkana,markaksi,markatta
2,maa,maa,maan,maan,maata,maassa,maasta,maahan,maalla,maalta,maalle,maana,maaksi,maatta
3,asia,asia,asian,asian,asiaa,asiassa,asiasta,asiaan,asialla,asialta,asialle,asiana,asiaksi,asiatta
4,prosentti,prosentti,prosentin,prosentin,prosenttia,prosentissa,prosentista,prosenttiin,prosentilla,prosentilta,prosentille,prosenttina,prosentiksi,prosentitta
5,ihminen,ihminen,ihmisen,ihmisen,ihmistä,ihmisessä,ihmisestä,ihmiseen,ihmisellä,ihmiseltä,ihmiselle,ihmisenä,ihmiseksi,ihmisettä
6,mies,mies,miehen,miehen,miestä,miehessä,miehestä,mieheen,miehellä,mieheltä,miehelle,miehenä,mieheksi,miehettä
7,aika,aika,ajan,ajan,aikaa,ajassa,ajasta,aikaan,ajalla,ajalta,ajalle,aikana,ajaksi,ajatta
8,työ,työ,työn,työn,työtä,työssä,työstä,työhön,työllä,työltä,työlle,työnä,työksi,työttä
9,mieli,mieli,mielen,mielen,mieltä,mielessä,mielestä,mieleen,mielellä,mieleltä,mielelle,mielenä,mieleksi,mielettä
10,kaupunki,kaupunki,kaupungin,kaupungin,kaupunkia,kaupungissa,kaupungista,kaupunkiin,kaupungilla,kaupungilta,kaupungille,kaupunkina,kaupungiksi,kaupungitta
11,osa,osa,osan,osan,osaa,osassa,osasta,osaan,osalla,osalta,osalle,osana,osaksi,osatta
12,alue,alue,alueen,alueen,aluetta,alueessa,alueesta,alueeseen,alueella,alueelta,alueelle,alueena,alueeksi,alueetta
13,lapsi,lapsi,lapsen,lapsen,lasta,lapsessa,lapsesta,lapseen,lapsella,lapselta,lapselle,lapsena,lapseksi,lapsetta
14,päivä,päivä,päivän,päivän,päivää,päivässä,päivästä,päivään,päivällä,päivältä,päivälle,päivänä,päiväksi,päivättä
15,hallitus,hallitus,hallituksen,hallituksen,hallitusta,hallituksessa,hallituksesta,hallitukseen,hallituksella,hallitukselta,hallitukselle,hallituksena,hallitukseksi,hallituksetta
16,kunta,kunta,kunnan,kunnan,kuntaa,kunnassa,kunnasta,kuntaan,kunnalla,kunnalta,kunnalle,kuntana,kunnaksi,kunnatta
17,nainen,nainen,naisen,naisen,naista,naisessa,naisesta,naiseen,naisella,naiselta,naiselle,naisena,naiseksi,naisetta
18,viikko,viikko,viikon,viikon,viikkoa,viikossa,viikosta,viikkoon,viikolla,viikolta,viikolle,viikkona,viikoksi,viikotta
19,luku,luku,luvun,luvun,lukua,luvussa,luvusta,lukuun,luvulla,luvulta,luvulle,lukuna,luvuksi,luvutta
20,kerta,kerta,kerran,kerran,kertaa,kerrassa,kerrasta,kertaan,kerralla,kerralta,kerralle,kertana,kerraksi,kerratta
21,yritys,yritys,yrityksen,yrityksen,yritystä,yrityksessä,yrityksestä,yritykseen,yrityksellä,yritykseltä,yritykselle,yrityksenä,yritykseksi,yrityksettä
22,alku,alku,alun,alun,alkua,alussa,alusta,alkuun,alulla,alulta,alulle,alkuna,aluksi,alutta
23,paikka,paikka,paikan,paikan,paikkaa,paikassa,paikasta,paikkaan,paikalla,paikalta,paikalle,paikkana,paikaksi,paikatta
24,tilanne,tilanne,tilanteen,tilanteen,tilannetta,tilanteessa,tilanteesta,tilanteeseen,tilanteella,tilanteelta,tilanteelle,tilanteena,tilanteeksi,tilanteetta
25,presidentti,presidentti,presidentin,presidentin,presidenttiä,presidentissä,presidentistä,presidenttiin,presidentillä,presidentiltä,presidentille,presidenttinä,presidentiksi,presidentittä
26,tieto,tieto,tiedon,tiedon,tietoa,tiedossa,tiedosta,tietoon,tiedolla,tiedolta,tiedolle,tietona,tiedoksi,tiedotta
27,loppu,loppu,lopun,lopun,loppua,lopussa,lopusta,loppuun,lopulla,lopulta,lopulle,loppuna,lopuksi,loputta
28,tapa,tapa,tavan,tavan,tapaa,tavassa,tavasta,tapaan,tavalla,tavalta,tavalle,tapana,tavaksi,tavatta
29,maailma,maailma,maailman,maailman,maailmaa,maailmassa,maailmasta,maailmaan,maailmalla,maailmalta,maailmalle,maailmana,maailmaksi,maailmatta
30,määrä,määrä,määrän,määrän,määrää,määrässä,määrästä,määrään,määrällä,määrältä,määrälle,määränä,määräksi,määrättä
31,puheenjohtaja,puheenjohtaja,puheenjohtajan,puheenjohtajan,puheenjohtajaa,puheenjohtajassa,puheenjohtajasta,puheenjohtajaan,puheenjohtajalla,puheenjohtajalta,puheenjohtajalle,puheenjohtajana,puheenjohtajaksi,puheenjohtajatta
32,poliisi,poliisi,poliisin,poliisin,poliisia,poliisissa,poliisista,poliisiin,poliisilla,poliisilta,poliisille,poliisina,poliisiksi,poliisitta
33,kisa,kisa,kisan,kisan,kisaa,kisassa,kisasta,kisaan,kisalla,kisalta,kisalle,kisana,kisaksi,kisatta
34,auto,auto,auton,auton,autoa,autossa,autosta,autoon,autolla,autolta,autolle,autona,autoksi,autotta
35,toiminta,toiminta,toiminnan,toiminnan,toimintaa,toiminnassa,toiminnasta,toimintaan,toiminnalla,toiminnalta,toiminnalle,toimintana,toiminnaksi,toiminnatta
36,tulos,tulos,tuloksen,tuloksen,tulosta,tuloksessa,tuloksesta,tulokseen,tuloksella,tulokselta,tulokselle,tuloksena,tulokseksi,tuloksetta
37,raha,raha,rahan,rahan,rahaa,rahassa,rahasta,rahaan,rahalla,rahalta,rahalle,rahana,rahaksi,rahatta
38,päätös,päätös,päätöksen,päätöksen,päätöstä,päätöksessä,päätöksestä,päätökseen,päätöksellä,päätökseltä,päätökselle,päätöksenä,päätökseksi,päätöksettä
39,käyttö,käyttö,käytön,käytön,käyttöä,käytössä,käytöstä,käyttöön,käytöllä,käytöltä,käytölle,käyttönä,käytöksi,käytöttä
40,syy,syy,syyn,syyn,syytä,syyssä,syystä,syyhyn,syyllä,syyltä,syylle,syynä,syyksi,syyttä
41,elämä,elämä,elämän,elämän,elämää,elämässä,elämästä,elämään,elämällä,elämältä,elämälle,elämänä,elämäksi,elämättä
42,kilpailu,kilpailu,kilpailun,kilpailun,kilpailua,kilpailussa,kilpailusta,kilpailuun,kilpailulla,kilpailulta,kilpailulle,kilpailuna,kilpailuksi,kilpailutta
43,koulu,koulu,koulun,koulun,koulua,koulussa,koulusta,kouluun,koululla,koululta,koululle,kouluna,kouluksi,koulutta
44,kesä,kesä,kesän,kesän,kesää,kesässä,kesästä,kesään,kesällä,kesältä,kesälle,kesänä,kesäksi,kesättä
45,ongelma,ongelma,ongelman,ongelman,ongelmaa,ongelmassa,ongelmasta,ongelmaan,ongelmalla,ongelmalta,ongelmalle,ongelmana,ongelmaksi,ongelmatta
46,yhtiö,yhtiö,yhtiön,yhtiön,yhtiötä,yhtiössä,yhtiöstä,yhtiöön,yhtiöllä,yhtiöltä,yhtiölle,yhtiönä,yhtiöksi,yhtiöttä
47,joukkue,joukkue,joukkueen,joukkueen,joukkuetta,joukkueessa,joukkueesta,joukkueeseen,joukkueella,joukkueelta,joukkueelle,joukkueena,joukkueeksi,joukkueetta
48,nuori,nuori,nuoren,nuoren,nuorta,nuoressa,nuoresta,nuoreen,nuorella,nuorelta,nuorelle,nuorena,nuoreksi,nuoretta
49,mahdollisuus,mahdollisuus,mahdollisuuden,mahdollisuuden,mahdollisuutta,mahdollisuudessa,mahdollisuudesta,mahdollisuuteen,mahdollisuudella,mahdollisuudelta,mahdollisuudelle,mahdollisuutena,mahdollisuudeksi,mahdollisuudetta
50,kausi,kausi,kauden,kauden,kautta,kaudessa,kaudesta,kauteen,kaudella,kaudelta,kaudelle,kautena,kaudeksi,kaudetta
51,suomalainen,suomalainen,suomalaisen,suomalaisen,suomalaista,suomalaisessa,suomalaisesta,suomalaiseen,suomalaisella,suomalaiselta,suomalaiselle,suomalaisena,suomalaiseksi,suomalaisetta
52,valtio,valtio,valtion,valtion,valtiota,valtiossa,valtiosta,valtioon,valtiolla,valtiolta,valtiolle,valtiona,valtioksi,valtiotta
53,kuva,kuva,kuvan,kuvan,kuvaa,kuvassa,kuvasta,kuvaan,kuvalla,kuvalta,kuvalle,kuvana,kuvaksi,kuvatta
54,nimi,nimi,nimen,nimen,nimeä,nimessä,nimestä,nimeen,nimellä,nimeltä,nimelle,nimenä,nimeksi,nimettä
55,joukko,joukko,joukon,joukon,joukkoa,joukossa,joukosta,joukkoon,joukolla,joukolta,joukolle,joukkona,joukoksi,joukotta
56,johtaja,johtaja,johtajan,johtajan,johtajaa,johtajassa,johtajasta,johtajaan,johtajalla,johtajalta,johtajalle,johtajana,johtajaksi,johtajatta
57,tila,tila,tilan,tilan,tilaa,tilassa,tilasta,tilaan,tilalla,tilalta,tilalle,tilana,tilaksi,tilatta
58,apu,apu,avun,avun,apua,avussa,avusta,apuun,avulla,avulta,avulle,apuna,avuksi,avutta
59,ryhmä,ryhmä,ryhmän,ryhmän,ryhmää,ryhmässä,ryhmästä,ryhmään,ryhmällä,ryhmältä,ryhmälle,ryhmänä,ryhmäksi,ryhmättä
60,hetki,hetki,hetken,hetken,hetkeä,hetkessä,hetkestä,hetkeen,hetkellä,hetkeltä,hetkelle,hetkenä,hetkeksi,hetkettä
61,tehtävä,tehtävä,tehtävän,tehtävän,tehtävää,tehtävässä,tehtävästä,tehtävään,tehtävällä,tehtävältä,tehtävälle,tehtävänä,tehtäväksi,tehtävättä
62,puolue,puolue,puolueen,puolueen,puoluetta,puolueessa,puolueesta,puolueeseen,puolueella,puolueelta,puolueelle,puolueena,puolueeksi,puolueetta
63,tavoite,tavoite,tavoitteen,tavoitteen,tavoitetta,tavoitteessa,tavoitteesta,tavoitteeseen,tavoitteella,tavoitteelta,tavoitteelle,tavoitteena,tavoitteeksi,tavoitteetta
64,voitto,voitto,voiton,voiton,voittoa,voitossa,voitosta,voittoon,voitolla,voitolta,voitolle,voittona,voitoksi,voitotta
65,matka,matka,matkan,matkan,matkaa,matkassa,matkasta,matkaan,matkalla,matkalta,matkalle,matkana,matkaksi,matkatta
66,kauppa,kauppa,kaupan,kaupan,kauppaa,kaupassa,kaupasta,kauppaan,kaupalla,kaupalta,kaupalle,kauppana,kaupaksi,kaupatta
67,ottelu,ottelu,ottelun,ottelun,ottelua,ottelussa,ottelusta,otteluun,ottelulla,ottelulta,ottelulle,otteluna,otteluksi,ottelutta
68,sopimus,sopimus,sopimuksen,sopimuksen,sopimusta,sopimuksessa,sopimuksesta,sopimukseen,sopimuksella,sopimukselta,sopimukselle,sopimuksena,sopimukseksi,sopimuksetta
69,maanantai,maanantai,maanantain,maanantain,maanantaita,maanantaissa,maanantaista,maanantaihin,maanantailla,maanantailta,maanantaille,maanantaina,maanantaiksi,maanantaitta
70,hinta,hinta,hinnan,hinnan,hintaa,hinnassa,hinnasta,hintaan,hinnalla,hinnalta,hinnalle,hintana,hinnaksi,hinnatta
71,sunnuntai,sunnuntai,sunnuntain,sunnuntain,sunnuntaita,sunnuntaissa,sunnuntaista,sunnuntaihin,sunnuntailla,sunnuntailta,sunnuntaille,sunnuntaina,sunnuntaiksi,sunnuntaitta
72,sarja,sarja,sarjan,sarjan,sarjaa,sarjassa,sarjasta,sarjaan,sarjalla,sarjalta,sarjalle,sarjana,sarjaksi,sarjatta
73,perjantai,perjantai,perjantain,perjantain,perjantaita,perjantaissa,perjantaista,perjantaihin,perjantailla,perjantailta,perjantaille,perjantaina,perjantaiksi,perjantaitta
74,puoli,puoli,puolen,puolen,puolta,puolessa,puolesta,puoleen,puolella,puolelta,puolelle,puolena,puoleksi,puoletta
75,lauantai,lauantai,lauantain,lauantain,lauantaita,lauantaissa,lauantaista,lauantaihin,lauantailla,lauantailta,lauantaille,lauantaina,lauantaiksi,lauantaitta
76,yhteistyö,yhteistyö,yhteistyön,yhteistyön,yhteistyötä,yhteistyössä,yhteistyöstä,yhteistyöhön,yhteistyöllä,yhteistyöltä,yhteistyölle,yhteistyönä,yhteistyöksi,yhteistyöttä
77,jäsen,jäsen,jäsenen,jäsenen,jäsentä,jäsenessä,jäsenestä,jäseneen,jäsenellä,jäseneltä,jäsenelle,jäsenenä,jäseneksi,jäsenettä
78,tutkimus,tutkimus,tutkimuksen,tutkimuksen,tutkimusta,tutkimuksessa,tutkimuksesta,tutkimukseen,tutkimuksella,tutkimukselta,tutkimukselle,tutkimuksena,tutkimukseksi,tutkimuksetta
79,syksy,syksy,syksyn,syksyn,syksyä,syksyssä,syksystä,syksyyn,syksyllä,syksyltä,syksylle,syksynä,syksyksi,syksyttä
80,torstai,torstai,torstain,torstain,torstaita,torstaissa,torstaista,torstaihin,torstailla,torstailta,torstaille,torstaina,torstaiksi,torstaitta
81,tiistai,tiistai,tiistain,tiistain,tiistaita,tiistaissa,tiistaista,tiistaihin,tiistailla,tiistailta,tiistaille,tiistaina,tiistaiksi,tiistaitta
82,keskiviikko,keskiviikko,keskiviikon,keskiviikon,keskiviikkoa,keskiviikossa,keskiviikosta,keskiviikkoon,keskiviikolla,keskiviikolta,keskiviikolle,keskiviikkona,keskiviikoksi,keskiviikotta
83,kysymys,kysymys,kysymyksen,kysymyksen,kysymystä,kysymyksessä,kysymyksestä,kysymykseen,kysymyksellä,kysymykseltä,kysymykselle,kysymyksenä,kysymykseksi,kysymyksettä
84,talo,talo,talon,talon,taloa,talossa,talosta,taloon,talolla,talolta,talolle,talona,taloksi,talotta
85,kuukausi,kuukausi,kuukauden,kuukauden,kuukautta,kuukaudessa,kuukaudesta,kuukauteen,kuukaudella,kuukaudelta,kuukaudelle,kuukautena,kuukaudeksi,kuukaudetta
86,ohjelma,ohjelma,ohjelman,ohjelman,ohjelmaa,ohjelmassa,ohjelmasta,ohjelmaan,ohjelmalla,ohjelmalta,ohjelmalle,ohjelmana,ohjelmaksi,ohjelmatta
87,ratkaisu,ratkaisu,ratkaisun,ratkaisun,ratkaisua,ratkaisussa,ratkaisusta,ratkaisuun,ratkaisulla,ratkaisulta,ratkaisulle,ratkaisuna,ratkaisuksi,ratkaisutta
88,peli,peli,pelin,pelin,peliä,pelissä,pelistä,peliin,pelillä,peliltä,pelille,pelinä,peliksi,pelittä
89,kirja,kirja,kirjan,kirjan,kirjaa,kirjassa,kirjasta,kirjaan,kirjalla,kirjalta,kirjalle,kirjana,kirjaksi,kirjatta
90,tuki,tuki,tuen,tuen,tukea,tuessa,tuesta,tukeen,tuella,tuelta,tuelle,tukena,tueksi,tuetta
91,poika,poika,pojan,pojan,poikaa,pojassa,pojasta,poikaan,pojalla,pojalta,pojalle,poikana,pojaksi,pojatta
92,esitys,esitys,esityksen,esityksen,esitystä,esityksessä,esityksestä,esitykseen,esityksellä,esitykseltä,esitykselle,esityksenä,esitykseksi,esityksettä
93,edustaja,edustaja,edustajan,edustajan,edustajaa,edustajassa,edustajasta,edustajaan,edustajalla,edustajalta,edustajalle,edustajana,edustajaksi,edustajatta
94,ala,ala,alan,alan,alaa,alassa,alasta,alaan,alalla,alalta,alalle,alana,alaksi,alatta
95,tie,tie,tien,tien,tietä,tiessä,tiestä,tiehen,tiellä,tieltä,tielle,tienä,tieksi,tiettä
96,perhe,perhe,perheen,perheen,perhettä,perheessä,perheestä,perheeseen,perheellä,perheeltä,perheelle,perheenä,perheeksi,perheettä
97,metri,metri,metrin,metrin,metriä,metrissä,metristä,metriin,metrillä,metriltä,metrille,metrinä,metriksi,metrittä
98,oikeus,oikeus,oikeuden,oikeuden,oikeutta,oikeudessa,oikeudesta,oikeuteen,oikeudella,oikeudelta,oikeudelle,oikeutena,oikeudeksi,oikeudetta
99,asema,asema,aseman,aseman,asemaa,asemassa,asemasta,asemaan,asemalla,asemalta,asemalle,asemana,asemaksi,asematta
100,elokuva,elokuva,elokuvan,elokuvan,elokuvaa,elokuvassa,elokuvasta,elokuvaan,elokuvalla,elokuvalta,elokuvalle,elokuvana,elokuvaksi,elokuvatta
101,voima,voima,voiman,voiman,voimaa,voimassa,voimasta,voimaan,voimalla,voimalta,voimalle,voimana,voimaksi,voimatta
102,tarkoitus,tarkoitus,tarkoituksen,tarkoituksen,tarkoitusta,tarkoituksessa,tarkoituksesta,tarkoitukseen,tarkoituksella,tarkoitukselta,tarkoitukselle,tarkoituksena,tarkoitukseksi,tarkoituksetta
103,maali,maali,maalin,maalin,maalia,maalissa,maalista,maaliin,maalilla,maalilta,maalille,maalina,maaliksi,maalitta
104,johto,johto,johdon,johdon,johtoa,johdossa,johdosta,johtoon,johdolla,johdolta,johdolle,johtona,johdoksi,johdotta
105,muutos,muutos,muutoksen,muutoksen,muutosta,muutoksessa,muutoksesta,muutokseen,muutoksella,muutokselta,muutokselle,muutoksena,muutokseksi,muutoksetta
106,tunti,tunti,tunnin,tunnin,tuntia,tunnissa,tunnista,tuntiin,tunnilla,tunnilta,tunnille,tuntina,tunniksi,tunnitta
107,tapahtuma,tapahtuma,tapahtuman,tapahtuman,tapahtumaa,tapahtumassa,tapahtumasta,tapahtumaan,tapahtumalla,tapahtumalta,tapahtumalle,tapahtumana,tapahtumaksi,tapahtumatta
108,hanke,hanke,hankkeen,hankkeen,hanketta,hankkeessa,hankkeesta,hankkeeseen,hankkeella,hankkeelta,hankkeelle,hankkeena,hankkeeksi,hankkeetta
109,kevät,kevät,kevään,kevään,kevättä,keväässä,keväästä,kevääseen,keväällä,keväältä,keväälle,keväänä,kevääksi,keväättä
110,piste,piste,pisteen,pisteen,pistettä,pisteessä,pisteestä,pisteeseen,pisteellä,pisteeltä,pisteelle,pisteenä,pisteeksi,pisteettä
111,kokous,kokous,kokouksen,kokouksen,kokousta,kokouksessa,kokouksesta,kokoukseen,kokouksella,kokoukselta,kokoukselle,kokouksena,kokoukseksi,kokouksetta
112,vesi,vesi,veden,veden,vettä,vedessä,vedestä,veteen,vedellä,vedeltä,vedelle,vetenä,vedeksi,vedettä
113,liitto,liitto,liiton,liiton,liittoa,liitossa,liitosta,liittoon,liitolla,liitolta,liitolle,liittona,liitoksi,liitotta
114,tulevaisuus,tulevaisuus,tulevaisuuden,tulevaisuuden,tulevaisuutta,tulevaisuudessa,tulevaisuudesta,tulevaisuuteen,tulevaisuudella,tulevaisuudelta,tulevaisuudelle,tulevaisuutena,tulevaisuudeksi,tulevaisuudetta
115,ääni,ääni,äänen,äänen,ääntä,äänessä,äänestä,ääneen,äänellä,ääneltä,äänelle,äänenä,ääneksi,äänettä
116,palvelu,palvelu,palvelun,palvelun,palvelua,palvelussa,palvelusta,palveluun,palvelulla,palvelulta,palvelulle,palveluna,palveluksi,palvelutta
117,juttu,juttu,jutun,jutun,juttua,jutussa,jutusta,juttuun,jutulla,jutulta,jutulle,juttuna,jutuksi,jututta
118,kunto,kunto,kunnon,kunnon,kuntoa,kunnossa,kunnosta,kuntoon,kunnolla,kunnolta,kunnolle,kuntona,kunnoksi,kunnotta
119,taso,taso,tason,tason,tasoa,tasossa,tasosta,tasoon,tasolla,tasolta,tasolle,tasona,tasoksi,tasotta
120,pääministeri,pääministeri,pääministerin,pääministerin,pääministeriä,pääministerissä,pääministeristä,pääministeriin,pääministerillä,pääministeriltä,pääministerille,pääministerinä,pääministeriksi,pääministerittä
121,tulo,tulo,tulon,tulon,tuloa,tulossa,tulosta,tuloon,tulolla,tulolta,tulolle,tulona,tuloksi,tulotta
122,keskusta,keskusta,keskustan,keskustan,keskustaa,keskustassa,keskustasta,keskustaan,keskustalla,keskustalta,keskustalle,keskustana,keskustaksi,keskustatta
123,työntekijä,työntekijä,työntekijän,työntekijän,työntekijää,työntekijässä,työntekijästä,työntekijään,työntekijällä,työntekijältä,työntekijälle,työntekijänä,työntekijäksi,työntekijättä
124,osuus,osuus,osuuden,osuuden,osuutta,osuudessa,osuudesta,osuuteen,osuudella,osuudelta,osuudelle,osuutena,osuudeksi,osuudetta
125,käsi,käsi,käden,käden,kättä,kädessä,kädestä,käteen,kädellä,kädeltä,kädelle,kätenä,kädeksi,kädettä
126,lehti,lehti,lehden,lehden,lehteä,lehdessä,lehdestä,lehteen,lehdellä,lehdeltä,lehdelle,lehtenä,lehdeksi,lehdettä
127,asiakas,asiakas,asiakkaan,asiakkaan,asiakasta,asiakkaassa,asiakkaasta,asiakkaaseen,asiakkaalla,asiakkaalta,asiakkaalle,asiakkaana,asiakkaaksi,asiakkaatta
128,henkilö,henkilö,henkilön,henkilön,henkilöä,henkilössä,henkilöstä,henkilöön,henkilöllä,henkilöltä,henkilölle,henkilönä,henkilöksi,henkilöttä
129,sivu,sivu,sivun,sivun,sivua,sivussa,sivusta,sivuun,sivulla,sivulta,sivulle,sivuna,sivuksi,sivutta
130,raja,raja,rajan,rajan,rajaa,rajassa,rajasta,rajaan,rajalla,rajalta,rajalle,rajana,rajaksi,rajatta
131,toimitusjohtaja,toimitusjohtaja,toimitusjohtajan,toimitusjohtajan,toimitusjohtajaa,toimitusjohtajassa,toimitusjohtajasta,toimitusjohtajaan,toimitusjohtajalla,toimitusjohtajalta,toimitusjohtajalle,toimitusjohtajana,toimitusjohtajaksi,toimitusjohtajatta
132,musiikki,musiikki,musiikin,musiikin,musiikkia,musiikissa,musiikista,musiikkiin,musiikilla,musiikilta,musiikille,musiikkina,musiikiksi,musiikitta
133,teos,teos,teoksen,teoksen,teosta,teoksessa,teoksesta,teokseen,teoksella,teokselta,teokselle,teoksena,teokseksi,teoksetta
134,kasvu,kasvu,kasvun,kasvun,kasvua,kasvussa,kasvusta,kasvuun,kasvulla,kasvulta,kasvulle,kasvuna,kasvuksi,kasvutta
135,talous,talous,talouden,talouden,taloutta,taloudessa,taloudesta,talouteen,taloudella,taloudelta,taloudelle,taloutena,taloudeksi,taloudetta
136,sota,sota,sodan,sodan,sotaa,sodassa,sodasta,sotaan,sodalla,sodalta,sodalle,sotana,sodaksi,sodatta
137,koti,koti,kodin,kodin,kotia,kodissa,kodista,kotiin,kodilla,kodilta,kodille,kotina,kodiksi,koditta
138,kilometri,kilometri,kilometrin,kilometrin,kilometriä,kilometrissä,kilometristä,kilometriin,kilometrillä,kilometriltä,kilometrille,kilometrinä,kilometriksi,kilometrittä
139,asukas,asukas,asukkaan,asukkaan,asukasta,asukkaassa,asukkaasta,asukkaaseen,asukkaalla,asukkaalta,asukkaalle,asukkaana,asukkaaksi,asukkaatta
140,käytäntö,käytäntö,käytännön,käytännön,käytäntöä,käytännössä,käytännöstä,käytäntöön,käytännöllä,käytännöltä,käytännölle,käytäntönä,käytännöksi,käytännöttä
141,vaali,vaali,vaalin,vaalin,vaalia,vaalissa,vaalista,vaaliin,vaalilla,vaalilta,vaalille,vaalina,vaaliksi,vaalitta
142,kirkko,kirkko,kirkon,kirkon,kirkkoa,kirkossa,kirkosta,kirkkoon,kirkolla,kirkolta,kirkolle,kirkkona,kirkoksi,kirkotta
143,minuutti,minuutti,minuutin,minuutin,minuuttia,minuutissa,minuutista,minuuttiin,minuutilla,minuutilta,minuutille,minuuttina,minuutiksi,minuutitta
144,keskustelu,keskustelu,keskustelun,keskustelun,keskustelua,keskustelussa,keskustelusta,keskusteluun,keskustelulla,keskustelulta,keskustelulle,keskusteluna,keskusteluksi,keskustelutta
145,tapaus,tapaus,tapauksen,tapauksen,tapausta,tapauksessa,tapauksesta,tapaukseen,tapauksella,tapaukselta,tapaukselle,tapauksena,tapaukseksi,tapauksetta
146,eduskunta,eduskunta,eduskunnan,eduskunnan,eduskuntaa,eduskunnassa,eduskunnasta,eduskuntaan,eduskunnalla,eduskunnalta,eduskunnalle,eduskuntana,eduskunnaksi,eduskunnatta
147,ero,ero,eron,eron,eroa,erossa,erosta,eroon,erolla,erolta,erolle,erona,eroksi,erotta
148,arvo,arvo,arvon,arvon,arvoa,arvossa,arvosta,arvoon,arvolla,arvolta,arvolle,arvona,arvoksi,arvotta
149,henki,henki,hengen,hengen,henkeä,hengessä,hengestä,henkeen,hengellä,hengeltä,hengelle,henkenä,hengeksi,hengettä
150,neuvottelu,neuvottelu,neuvottelun,neuvottelun,neuvottelua,neuvottelussa,neuvottelusta,neuvotteluun,neuvottelulla,neuvottelulta,neuvottelulle,neuvotteluna,neuvotteluksi,neuvottelutta
151,seura,seura,seuran,seuran,seuraa,seurassa,seurasta,seuraan,seuralla,seuralta,seuralle,seurana,seuraksi,seuratta
152,vaihe,vaihe,vaiheen,vaiheen,vaihetta,vaiheessa,vaiheesta,vaiheeseen,vaiheella,vaiheelta,vaiheelle,vaiheena,vaiheeksi,vaiheetta
153,pankki,pankki,pankin,pankin,pankkia,pankissa,pankista,pankkiin,pankilla,pankilta,pankille,pankkina,pankiksi,pankitta
154,koulutus,koulutus,koulutuksen,koulutuksen,koulutusta,koulutuksessa,koulutuksesta,koulutukseen,koulutuksella,koulutukselta,koulutukselle,koulutuksena,koulutukseksi,koulutuksetta
155,työpaikka,työpaikka,työpaikan,työpaikan,työpaikkaa,työpaikassa,työpaikasta,työpaikkaan,työpaikalla,työpaikalta,työpaikalle,työpaikkana,työpaikaksi,työpaikatta
156,suhde,suhde,suhteen,suhteen,suhdetta,suhteessa,suhteesta,suhteeseen,suhteella,suhteelta,suhteelle,suhteena,suhteeksi,suhteetta
157,historia,historia,historian,historian,historiaa,historiassa,historiasta,historiaan,historialla,historialta,historialle,historiana,historiaksi,historiatta
158,komissio,komissio,komission,komission,komissiota,komissiossa,komissiosta,komissioon,komissiolla,komissiolta,komissiolle,komissiona,komissioksi,komissiotta
159,laki,laki,laen,laen,lakea,laessa,laesta,lakeen,laella,laelta,laelle,lakena,laeksi,laetta
160,pelaaja,pelaaja,pelaajan,pelaajan,pelaajaa,pelaajassa,pelaajasta,pelaajaan,pelaajalla,pelaajalta,pelaajalle,pelaajana,pelaajaksi,pelaajatta
161,kello,kello,kellon,kellon,kelloa,kellossa,kellosta,kelloon,kellolla,kellolta,kellolle,kellona,kelloksi,kellotta
162,näyttely,näyttely,näyttelyn,näyttelyn,näyttelyä,näyttelyssä,näyttelystä,näyttelyyn,näyttelyllä,näyttelyltä,näyttelylle,näyttelynä,näyttelyksi,näyttelyttä
163,yhteys,yhteys,yhteyden,yhteyden,yhteyttä,yhteydessä,yhteydestä,yhteyteen,yhteydellä,yhteydeltä,yhteydelle,yhteytenä,yhteydeksi,yhteydettä
164,kokemus,kokemus,kokemuksen,kokemuksen,kokemusta,kokemuksessa,kokemuksesta,kokemukseen,kokemuksella,kokemukselta,kokemukselle,kokemuksena,kokemukseksi,kokemuksetta
165,ehdokas,ehdokas,ehdokkaan,ehdokkaan,ehdokasta,ehdokkaassa,ehdokkaasta,ehdokkaaseen,ehdokkaalla,ehdokkaalta,ehdokkaalle,ehdokkaana,ehdokkaaksi,ehdokkaatta
166,asunto,asunto,asunnon,asunnon,asuntoa,asunnossa,asunnosta,asuntoon,asunnolla,asunnolta,asunnolle,asuntona,asunnoksi,asunnotta
167,kehitys,kehitys,kehityksen,kehityksen,kehitystä,kehityksessä,kehityksestä,kehitykseen,kehityksellä,kehitykseltä,kehitykselle,kehityksenä,kehitykseksi,kehityksettä
168,osake,osake,osakkeen,osakkeen,osaketta,osakkeessa,osakkeesta,osakkeeseen,osakkeella,osakkeelta,osakkeelle,osakkeena,osakkeeksi,osakkeetta
169,huomio,huomio,huomion,huomion,huomiota,huomiossa,huomiosta,huomioon,huomiolla,huomiolta,huomiolle,huomiona,huomioksi,huomiotta
170,äiti,äiti,äidin,äidin,äitiä,äidissä,äidistä,äitiin,äidillä,äidiltä,äidille,äitinä,äidiksi,äidittä
